dataset,algo,time_budget,c_budget,ens_size,beta,tau,runtime,true_ens_size,doublefault,doublefault_norm,yules_q,yules_q_norm,correlation,correlation_norm,disagreement,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy,balanced_accuracy
40983,bo_div,600,3600,25,0.025,0.2,3603.396665039,13,0.023588154269972447,0.9764118457300268,0.9556524776542821,0.02217376117285882,0.5663322781482005,0.21683386092589968,0.030064632337359606,0.9059092598416194,0.8728165938864628,0.8728165938864628,0.9824380165289256,0.8728165938864629
40983,bo_div,600,3600,25,0.025,0.2,3997.577685722,15,0.017011019283746553,0.9829889807162531,0.7012735423208676,0.14936322883956626,0.30121948361910017,0.34939025819044994,0.11845730027548206,0.9077490568047404,0.8818861269734631,0.8818861269734631,0.9824380165289256,0.8818861269734632
40983,bo_div,600,3600,25,0.025,0.2,3611.490202763,16,0.07760847107438014,0.9223915289256197,0.10578956767712304,0.4471052161614385,0.05608506455025464,0.4719574677248728,0.41425619834710736,0.8828816371681416,0.9665770910312396,0.9665770910312396,0.9710743801652892,0.9665770910312395
40983,bo_div,600,3600,25,0.025,0.2,3621.483355299,15,0.01578118850846125,0.9842188114915381,0.6760580368015346,0.16197098159923262,0.3450259775228818,0.3274870112385592,0.16155057064147976,0.9301371275389216,0.937940880080618,0.937940880080618,0.9855371900826446,0.937940880080618
40983,bo_div,600,3600,25,0.025,0.2,4112.393761053,9,0.017734159779614338,0.9822658402203857,0.9317123692354071,0.034143815382296445,0.4565087306160861,0.271745634691957,0.04809458218549128,0.9077490568047404,0.8818861269734631,0.8818861269734631,0.9824380165289256,0.8818861269734632
40984,bo_div,600,3600,25,0.025,0.2,3674.518547836,20,0.08972431077694233,0.9102756892230577,0.5789602742666602,0.21051986286666985,0.24112829540789357,0.37943585229605314,0.32552973342447045,0.9545515681646742,0.9959825528007346,0.9959825528007347,0.9545454545454546,0.9545454545454545
40984,bo_div,600,3600,25,0.025,0.2,3892.588732893,11,0.08016528925619837,0.9198347107438015,0.6536102755132542,0.1731948622433729,0.24011428555968403,0.37994285722015814,0.32136953955135766,0.9546161244395976,0.9945067558703923,0.9945067558703924,0.9545454545454546,0.9545454545454545
40984,bo_div,600,3600,25,0.025,0.2,3606.873837057,5,0.07012987012987013,0.92987012987013,0.5264167014760367,0.23679164926198162,0.20148606539919442,0.3992569673004028,0.3186147186147186,0.9286319468779559,0.991697275788185,0.991697275788185,0.9285714285714286,0.9285714285714285
40984,bo_div,600,3600,25,0.025,0.2,3609.872491613,16,0.10225468975468971,0.8977453102453105,0.42397549523539246,0.2880122523823038,0.16951808379771385,0.4152409581011431,0.36259018759018763,0.9463267579438014,0.9963542349905985,0.9963542349905987,0.9458874458874459,0.9458874458874459
40984,bo_div,600,3600,25,0.025,0.2,3610.399199703,5,0.11212121212121214,0.8878787878787879,0.7385879665679096,0.13070601671604518,0.2319772809819341,0.384011359509033,0.44588744588744583,0.9414994066700657,0.9946488696488698,0.9946488696488697,0.9415584415584416,0.9415584415584417
40996,bo_div,600,3600,25,0.025,0.2,5657.290508358,5,0.3262857142857143,0.6737142857142857,0.07630764651468273,0.4618461767426587,0.06647827302613747,0.46676086348693124,0.5361142857142858,0.8686009082658961,0.9899612358276644,0.9899612358276647,0.8709285714285714,0.8709285714285715
